Namespace(model='pctrope', exp_name='train_pctrope', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Test 82, loss: 1.573720, test acc: 0.881068, test avg acc: 0.798515
Train 83, loss: 1.567118, train acc: 0.906863, train avg acc: 0.860179
Test 83, loss: 1.569164, test acc: 0.878641, test avg acc: 0.797126
Train 84, loss: 1.555841, train acc: 0.911765, train avg acc: 0.848534
Test 84, loss: 1.565608, test acc: 0.883495, test avg acc: 0.799904
Train 85, loss: 1.576036, train acc: 0.907475, train avg acc: 0.875645
Test 85, loss: 1.571396, test acc: 0.881068, test avg acc: 0.798689
Train 86, loss: 1.560299, train acc: 0.911152, train avg acc: 0.852104
Test 86, loss: 1.568715, test acc: 0.883495, test avg acc: 0.800078
Train 87, loss: 1.549592, train acc: 0.922794, train avg acc: 0.874861
Test 87, loss: 1.571566, test acc: 0.878641, test avg acc: 0.797126
Train 88, loss: 1.565487, train acc: 0.911152, train avg acc: 0.866654
Test 88, loss: 1.570651, test acc: 0.885922, test avg acc: 0.801466
Train 89, loss: 1.566336, train acc: 0.897059, train avg acc: 0.841922
Test 89, loss: 1.570032, test acc: 0.876214, test avg acc: 0.795286
Train 90, loss: 1.559930, train acc: 0.903799, train avg acc: 0.850973
Test 90, loss: 1.565381, test acc: 0.878641, test avg acc: 0.797325
Train 91, loss: 1.551132, train acc: 0.922794, train avg acc: 0.877793
Test 91, loss: 1.567936, test acc: 0.876214, test avg acc: 0.796126
Train 92, loss: 1.560528, train acc: 0.909314, train avg acc: 0.853395
Test 92, loss: 1.567891, test acc: 0.878641, test avg acc: 0.796848
Train 93, loss: 1.549623, train acc: 0.913603, train avg acc: 0.853559
Test 93, loss: 1.565611, test acc: 0.883495, test avg acc: 0.800078
Train 94, loss: 1.557016, train acc: 0.913603, train avg acc: 0.864087
Test 94, loss: 1.565652, test acc: 0.881068, test avg acc: 0.798887
Train 95, loss: 1.553844, train acc: 0.916054, train avg acc: 0.865967
Test 95, loss: 1.570422, test acc: 0.878641, test avg acc: 0.797126
Train 96, loss: 1.572065, train acc: 0.905025, train avg acc: 0.858187
Test 96, loss: 1.568216, test acc: 0.881068, test avg acc: 0.798689
Train 97, loss: 1.567578, train acc: 0.906863, train avg acc: 0.857849
Test 97, loss: 1.566744, test acc: 0.881068, test avg acc: 0.798689
Train 98, loss: 1.563172, train acc: 0.911152, train avg acc: 0.869715
Test 98, loss: 1.568514, test acc: 0.878641, test avg acc: 0.797126
Train 99, loss: 1.560336, train acc: 0.909926, train avg acc: 0.854102
Test 99, loss: 1.570024, test acc: 0.878641, test avg acc: 0.797126
