Input points: 256
Block 0: 4.843349
Block 1: 4.777644
Block 2: 4.270030
Block 3: 3.838132
Block 0: 4.841127
Block 1: 4.775722
Block 2: 4.080952
Block 3: 3.817377
Block 0: 4.840139
Block 1: 4.776831
Block 2: 4.292983
Block 3: 3.775530
Block 0: 4.840870
Block 1: 4.764837
Block 2: 4.242842
Block 3: 3.616219
Block 0: 4.839891
Block 1: 4.764214
Block 2: 4.317300
Block 3: 3.784940
Block 0: 4.840734
Block 1: 4.776690
Block 2: 4.140652
Block 3: 3.866507
Block 0: 4.842094
Block 1: 4.774089
Block 2: 4.352781
Block 3: 3.858072
Block 0: 4.838909
Block 1: 4.750708
Block 2: 4.207198
Block 3: 3.493618
Block 0: 4.842937
Block 1: 4.776192
Block 2: 4.293242
Block 3: 3.740608
Block 0: 4.839334
Block 1: 4.757941
Block 2: 4.207790
Block 3: 3.862483
Block 0: 4.844005
Block 1: 4.801586
Block 2: 4.395010
Block 3: 3.905078
Block 0: 4.842593
Block 1: 4.781390
Block 2: 4.218787
Block 3: 3.740169
Block 0: 4.842527
Block 1: 4.784946
Block 2: 4.334359
Block 3: 3.969027
Block 0: 4.839909
Block 1: 4.770639
Block 2: 4.170558
Block 3: 3.882448
Block 0: 4.838220
Block 1: 4.743507
Block 2: 4.138618
Block 3: 3.552925
Block 0: 4.844482
Block 1: 4.788985
Block 2: 4.344086
Block 3: 3.821731
Block 0: 4.840107
Block 1: 4.761294
Block 2: 4.210908
Block 3: 3.497957
Block 0: 4.842874
Block 1: 4.768970
Block 2: 4.244025
Block 3: 3.809041
Block 0: 4.841481
Block 1: 4.767070
Block 2: 4.230410
Block 3: 3.758992
Block 0: 4.843997
Block 1: 4.785732
Block 2: 4.363358
Block 3: 3.924946
Block 0: 4.843225
Block 1: 4.783207
Block 2: 4.336099
Block 3: 3.908864
Block 0: 4.844430
Block 1: 4.788083
Block 2: 4.288950
Block 3: 3.903863
Block 0: 4.840297
Block 1: 4.757552
Block 2: 4.177873
Block 3: 3.609068
Block 0: 4.844129
Block 1: 4.790856
Block 2: 4.278241
Block 3: 3.823909
Block 0: 4.841776
Block 1: 4.767230
Block 2: 4.172400
Block 3: 3.658405
Block 0: 4.841712
Block 1: 4.767189
Block 2: 4.203373
Block 3: 3.658623
Block 0: 4.835427
Block 1: 4.747162
Block 2: 4.097548
Block 3: 3.571510
Block 0: 4.839924
Block 1: 4.769071
Block 2: 4.257830
Block 3: 3.735659
Block 0: 4.839383
Block 1: 4.748757
Block 2: 4.104700
Block 3: 3.584492
Block 0: 4.841172
Block 1: 4.766948
Block 2: 4.225638
Block 3: 3.493308
Block 0: 4.841260
Block 1: 4.768009
Block 2: 4.143120
Block 3: 3.708455
Input points: 384
Block 0: 5.250131
Block 1: 5.193497
Block 2: 4.763730
Block 3: 4.146203
Block 0: 5.249814
Block 1: 5.188955
Block 2: 4.740577
Block 3: 4.187917
Block 0: 5.247440
Block 1: 5.180530
Block 2: 4.684318
Block 3: 4.136043
Block 0: 5.251715
Block 1: 5.203432
Block 2: 4.919500
Block 3: 4.325881
Block 0: 5.249495
Block 1: 5.188062
Block 2: 4.756980
Block 3: 4.228288
Block 0: 5.250345
Block 1: 5.190281
Block 2: 4.819341
Block 3: 4.212941
Block 0: 5.250017
Block 1: 5.192444
Block 2: 4.834240
Block 3: 4.334626
Block 0: 5.248477
Block 1: 5.187734
Block 2: 4.756990
Block 3: 4.224419
Block 0: 5.249054
