Input points: 256
Block 3: 5.029504
Block 0: 3.686742
Block 1: 4.273806
Block 2: 3.498234
Block 3: 4.332606
Block 0: 3.455068
Block 1: 4.669561
Block 2: 3.603357
Block 3: 4.728167
Block 0: 3.206989
Block 1: 4.050911
Block 2: 3.335707
Block 3: 4.097435
Block 0: 3.203834
Block 1: 4.224405
Block 2: 3.272687
Block 3: 4.009332
Block 0: 3.543005
Block 1: 4.202431
Block 2: 3.851221
Block 3: 4.347837
Block 0: 3.821571
Block 1: 4.730609
Block 2: 4.082812
Block 3: 5.203484
Block 0: 3.596507
Block 1: 4.547619
Block 2: 4.182781
Block 3: 4.997500
Block 0: 3.684639
Block 1: 4.461097
Block 2: 3.821538
Block 3: 5.089244
Block 0: 3.266092
Block 1: 4.098590
Block 2: 3.358284
Block 3: 4.144368
Block 0: 3.536263
Block 1: 4.365792
Block 2: 3.786348
Block 3: 4.388772
Block 0: 3.729658
Block 1: 4.373096
Block 2: 4.025270
Block 3: 4.872739
Block 0: 3.461622
Block 1: 4.224258
Block 2: 3.531253
Block 3: 4.392238
Block 0: 3.450472
Block 1: 4.183605
Block 2: 3.394692
Block 3: 4.481460
Block 0: 3.458624
Block 1: 4.109148
Block 2: 3.480846
Block 3: 4.130219
Block 0: 3.400069
Block 1: 4.515543
Block 2: 3.702837
Block 3: 4.528544
Block 0: 3.408647
Block 1: 4.301024
Block 2: 3.738907
Block 3: 4.679174
Block 0: 3.850935
Block 1: 4.266905
Block 2: 3.864199
Block 3: 4.387034
Block 0: 3.664684
Block 1: 4.530981
Block 2: 3.724954
Block 3: 5.234960
Block 0: 3.571948
Block 1: 4.350688
Block 2: 3.630512
Block 3: 4.571492
Block 0: 3.583062
Block 1: 4.395817
Block 2: 4.032189
Block 3: 4.805672
Block 0: 3.055755
Block 1: 4.245975
Block 2: 3.320586
Block 3: 4.242767
Block 0: 3.597192
Block 1: 4.559437
Block 2: 3.912782
Block 3: 4.398303
Block 0: 3.096601
Block 1: 3.679850
Block 2: 3.311156
Block 3: 4.269991
Block 0: 3.870833
Block 1: 4.529674
Block 2: 3.880239
Block 3: 4.856731
Block 0: 3.220869
Block 1: 4.296990
Block 2: 3.506306
Block 3: 5.061543
Block 0: 3.670452
Block 1: 4.240245
Block 2: 3.454050
Block 3: 4.159531
Block 0: 3.778746
Block 1: 4.283202
Block 2: 4.087627
Block 3: 4.233006
Block 0: 3.598608
Block 1: 4.371709
Block 2: 3.713369
Block 3: 4.660639
Block 0: 3.474023
Block 1: 4.322021
Block 2: 3.927724
Block 3: 4.400633
Block 0: 3.967623
Block 1: 4.296622
