Input points: 256
Block 0: 0.771301
Block 1: 0.797925
Block 2: 0.828042
Block 3: 0.713293
Block 0: 0.724105
Block 1: 0.735875
Block 2: 0.789366
Block 3: 0.702554
Block 0: 0.674661
Block 1: 0.693203
Block 2: 0.730289
Block 3: 0.743943
Block 0: 0.704939
Block 1: 0.732314
Block 2: 0.741336
Block 3: 0.637345
Block 0: 0.778018
Block 1: 0.811011
Block 2: 0.828206
Block 3: 0.742225
Block 0: 0.811531
Block 1: 0.839348
Block 2: 0.872678
Block 3: 0.757990
Block 0: 0.747502
Block 1: 0.758081
Block 2: 0.793741
Block 3: 0.740715
Block 0: 0.702520
Block 1: 0.705209
Block 2: 0.753572
Block 3: 0.712718
Block 0: 0.679393
Block 1: 0.695773
Block 2: 0.722454
Block 3: 0.655764
Block 0: 0.736233
Block 1: 0.748143
Block 2: 0.783115
Block 3: 0.696249
Block 0: 0.774303
Block 1: 0.808205
Block 2: 0.843172
Block 3: 0.728906
Block 0: 0.747191
Block 1: 0.769650
Block 2: 0.798761
Block 3: 0.739322
Block 0: 0.778067
Block 1: 0.804146
Block 2: 0.830949
Block 3: 0.714943
Block 0: 0.797934
Block 1: 0.823940
Block 2: 0.846108
Block 3: 0.760898
Block 0: 0.751127
Block 1: 0.772623
Block 2: 0.801308
Block 3: 0.714641
Block 0: 0.821987
Block 1: 0.842145
Block 2: 0.877835
Block 3: 0.775169
Block 0: 0.790986
Block 1: 0.812490
Block 2: 0.823910
Block 3: 0.728865
Block 0: 0.775073
Block 1: 0.786405
Block 2: 0.814083
Block 3: 0.754804
Block 0: 0.715135
Block 1: 0.729824
Block 2: 0.770988
Block 3: 0.730900
Block 0: 0.786500
Block 1: 0.811084
Block 2: 0.837028
Block 3: 0.721600
Block 0: 0.712933
Block 1: 0.732536
Block 2: 0.758607
Block 3: 0.686405
Block 0: 0.755924
Block 1: 0.781208
Block 2: 0.806584
Block 3: 0.719350
Block 0: 0.707594
Block 1: 0.729787
Block 2: 0.760412
Block 3: 0.697552
Block 0: 0.750059
Block 1: 0.773149
Block 2: 0.808469
Block 3: 0.702554
Block 0: 0.701858
Block 1: 0.732817
Block 2: 0.754958
Block 3: 0.696269
Block 0: 0.850792
Block 1: 0.873911
Block 2: 0.918898
Block 3: 0.810889
Block 0: 0.770267
Block 1: 0.789718
Block 2: 0.826694
Block 3: 0.744019
Block 0: 0.757161
Block 1: 0.776456
Block 2: 0.807016
Block 3: 0.737818
Block 0: 0.788935
Block 1: 0.807095
Block 2: 0.838944
Block 3: 0.737880
Block 0: 0.747748
Block 1: 0.764480
Block 2: 0.800435
Block 3: 0.731598
Block 0: 0.829032
Block 1: 0.842320
Block 2: 0.881915
Block 3: 0.761847
Block 0: 0.714082
Block 1: 0.732544
Block 2: 0.763441
Block 3: 0.725136
Block 0: 0.750638
Block 1: 0.758711
Block 2: 0.823663
Block 3: 0.713601
Block 0: 0.754256
Block 1: 0.775140
Block 2: 0.815336
Block 3: 0.764566
Block 0: 0.792494
Block 1: 0.811914
Block 2: 0.842758
Block 3: 0.757075
Block 0: 0.776668
Block 1: 0.798109
Block 2: 0.821783
Block 3: 0.784207
Block 0: 0.854149
Block 1: 0.880173
Block 2: 0.936920
Block 3: 0.817114
Block 0: 0.784883
Block 1: 0.807832
Block 2: 0.842350
Block 3: 0.754774
Block 0: 0.864177
Block 1: 0.891504
Block 2: 0.929656
Block 3: 0.852473
Block 0: 0.743908
Block 1: 0.759582
Block 2: 0.797536
Block 3: 0.721912
Block 0: 0.806777
Block 1: 0.829946
Block 2: 0.862694
Block 3: 0.779680
Block 0: 0.756648
Block 1: 0.778445
Block 2: 0.820407
Block 3: 0.753501
Block 0: 0.760249
Block 1: 0.797903
Block 2: 0.820295
Block 3: 0.736210
Block 0: 0.760705
Block 1: 0.774001
Block 2: 0.814082
Block 3: 0.717721
Block 0: 0.819784
Block 1: 0.852305
Block 2: 0.888931
Block 3: 0.735422
Block 0: 0.716536
Block 1: 0.734607
Block 2: 0.763510
Block 3: 0.733130
Block 0: 0.751737
Block 1: 0.772665
Block 2: 0.811101
Block 3: 0.730647
Block 0: 0.745620
Block 1: 0.758548
Block 2: 0.789891
Block 3: 0.741832
Block 0: 0.755644
Block 1: 0.781640
Block 2: 0.806729
Block 3: 0.703740
Block 0: 0.671951
Block 1: 0.693753
Block 2: 0.704233
Block 3: 0.662600
Block 0: 0.721606
Block 1: 0.744980
Block 2: 0.784251
Block 3: 0.723367
Block 0: 0.737171
Block 1: 0.763216
Block 2: 0.796551
Block 3: 0.707505
Block 0: 0.708628
Block 1: 0.731480
Block 2: 0.762705
Block 3: 0.728198
Block 0: 0.820175
Block 1: 0.833460
Block 2: 0.871092
Block 3: 0.819440
Block 0: 0.792899
Block 1: 0.817298
Block 2: 0.844458
