Input points: 256
Block 0: 0.856698
Block 1: 0.920171
Block 2: 0.725603
Block 3: 0.887355
Block 0: 0.784172
Block 1: 0.876968
Block 2: 0.724667
Block 3: 0.993707
Block 0: 0.871278
Block 1: 0.940676
Block 2: 0.786847
Block 3: 1.041962
Block 0: 0.806466
Block 1: 0.903899
Block 2: 0.724680
Block 3: 0.951924
Block 0: 0.923551
Block 1: 0.932777
Block 2: 0.819556
Block 3: 1.031643
Block 0: 0.786109
Block 1: 0.889500
Block 2: 0.660322
Block 3: 0.965142
Block 0: 0.827845
Block 1: 0.898832
Block 2: 0.727304
Block 3: 0.982448
Block 0: 0.821992
Block 1: 0.886346
Block 2: 0.702515
Block 3: 0.984911
Block 0: 0.878519
Block 1: 0.862654
Block 2: 0.639078
Block 3: 0.939416
Block 0: 0.768066
Block 1: 0.871370
Block 2: 0.687481
Block 3: 0.978362
Block 0: 0.874247
Block 1: 0.925235
Block 2: 0.745516
Block 3: 1.010698
Block 0: 0.757500
Block 1: 0.820712
Block 2: 0.669028
Block 3: 0.925896
Block 0: 0.762807
Block 1: 0.865685
Block 2: 0.657279
Block 3: 0.898944
Block 0: 0.800549
Block 1: 0.865049
Block 2: 0.647033
Block 3: 1.003045
Block 0: 0.821616
Block 1: 0.833202
Block 2: 0.696422
Block 3: 0.972938
Block 0: 0.693775
Block 1: 0.734248
Block 2: 0.570840
Block 3: 0.894731
Block 0: 0.753155
Block 1: 0.857507
Block 2: 0.646732
Block 3: 0.913410
Block 0: 0.760383
Block 1: 0.811271
Block 2: 0.654049
Block 3: 0.977181
Block 0: 0.763272
Block 1: 0.848971
Block 2: 0.596898
Block 3: 0.874357
Block 0: 0.745751
Block 1: 0.980826
Block 2: 0.785289
Block 3: 0.961475
Block 0: 0.790164
Block 1: 0.835122
Block 2: 0.721381
Block 3: 0.985942
Block 0: 0.762768
Block 1: 0.850040
Block 2: 0.729851
Block 3: 0.973085
Block 0: 0.760421
Block 1: 0.912335
Block 2: 0.679924
Block 3: 0.993803
Block 0: 0.792117
Block 1: 0.937428
Block 2: 0.728669
Block 3: 0.960212
Block 0: 0.898709
Block 1: 0.917931
Block 2: 0.806554
Block 3: 0.963968
Block 0: 0.778000
Block 1: 0.901839
Block 2: 0.733757
Block 3: 0.927818
Block 0: 0.928318
Block 1: 0.868162
Block 2: 0.722659
Block 3: 0.946466
Block 0: 0.661351
Block 1: 0.904359
Block 2: 0.687434
Block 3: 0.949719
Block 0: 0.721361
Block 1: 0.926714
Block 2: 0.713934
Block 3: 0.941532
Block 0: 0.682930
Block 1: 0.879996
Block 2: 0.624821
Block 3: 0.966778
Block 0: 0.715899
Block 1: 0.794223
Block 2: 0.617442
Block 3: 1.002318
Block 0: 0.881780
Block 1: 0.932172
Block 2: 0.758463
Block 3: 1.065089
Block 0: 0.678511
Block 1: 0.800004
Block 2: 0.604259
Block 3: 0.959979
Block 0: 0.809317
Block 1: 0.884042
Block 2: 0.770762
Block 3: 1.024746
Block 0: 0.830835
Block 1: 0.895887
Block 2: 0.694597
Block 3: 0.945185
Block 0: 0.810655
Block 1: 0.879489
Block 2: 0.732499
Block 3: 0.928569
Block 0: 0.786324
Block 1: 0.819972
Block 2: 0.675547
Block 3: 0.925451
Block 0: 0.798057
Block 1: 0.861727
Block 2: 0.686854
Block 3: 0.958586
Block 0: 0.685349
Block 1: 0.836491
Block 2: 0.645521
Block 3: 0.871927
Block 0: 0.829378
Block 1: 0.923586
Block 2: 0.771840
Block 3: 0.978121
Block 0: 0.749636
Block 1: 0.931948
Block 2: 0.683751
Block 3: 0.975777
Block 0: 0.815312
Block 1: 0.877106
Block 2: 0.701073
Block 3: 1.005835
Block 0: 0.867418
Block 1: 0.887938
Block 2: 0.687202
Block 3: 0.923898
Block 0: 0.865607
Block 1: 0.955961
Block 2: 0.746407
Block 3: 0.972709
Block 0: 0.744495
Block 1: 0.923285
Block 2: 0.781724
Block 3: 0.996668
Block 0: 0.854146
Block 1: 0.858715
Block 2: 0.734480
Block 3: 0.981964
Block 0: 0.871908
Block 1: 0.912816
Block 2: 0.732487
Block 3: 0.952750
Block 0: 0.822128
Block 1: 0.918849
Block 2: 0.679333
Block 3: 0.943477
Input points: 384
Block 0: 0.771360
Block 1: 0.912719
Block 2: 0.794053
Block 3: 0.996218
Block 0: 0.829834
Block 1: 0.905782
Block 2: 0.730730
Block 3: 0.934909
Block 0: 0.841517
Block 1: 0.923566
Block 2: 0.717118
Block 3: 1.037339
Block 0: 0.680895
Block 1: 0.771146
Block 2: 0.625564
Block 3: 0.914691
Block 0: 0.796506
Block 1: 0.850288
Block 2: 0.638752
Block 3: 1.006494
Block 0: 0.793708
Block 1: 0.838741
Block 2: 0.730066
Block 3: 0.928171
Block 0: 0.770723
Block 1: 0.853072
Block 2: 0.659827
Block 3: 0.957490
Block 0: 0.802161
Block 1: 0.916569
Block 2: 0.749303
Block 3: 1.024469
Block 0: 0.861699
